rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([418.0 469.0]) p_canvas=Some([49.2 53.8]) frame.pan=[322.2 -105.5] zoom=1.784 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [-187.1 373.1], [105.0 72.0])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([538.0 558.0]) p_canvas=Some([-13.0 -56.5]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([538.0 558.0]) p_canvas=Some([-13.0 -56.5]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=Some(NodeIndex(1)) algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([913.0 586.0]) p_canvas=Some([249.8 -36.8]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=Some(NodeIndex(2)) algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1132.0 555.0]) p_canvas=Some([403.2 -58.6]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1132.0 555.0]) p_canvas=Some([403.2 -58.6]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1132.0 555.0]) p_canvas=Some([403.2 -58.6]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1132.0 555.0]) p_canvas=Some([403.2 -58.6]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1132.0 555.0]) p_canvas=Some([403.2 -58.6]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([401.0 570.0]) p_canvas=Some([-108.9 -48.0]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([401.0 570.0]) p_canvas=Some([-108.9 -48.0]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([401.0 570.0]) p_canvas=Some([-108.9 -48.0]) frame.pan=[548.5 160.0] zoom=1.427 node_sob=None algum_no_tela=Some((NodeIndex(0), [142.6 638.6], [83.6 71.3])) usando_widget=true n_nodes=3
rect=[[8.0 478.6] - [1358.0 735.0]] view_rect=[[8.0 478.6] - [8.0 478.6]] click p_screen=Some([1050.0 575.0]) p_canvas=Some([432.3 -37.4]) frame.pan=[523.2 141.3] zoom=1.200 node_sob=None algum_no_tela=Some((NodeIndex(0), [183.2 619.9], [85.7 72.3])) usando_widget=true n_nodes=3
